Name,Team,Pos,ADP,GP,G,A,PTS,+/-,PIM,PPG,PPA,PPP,GWG,SOG,FOW,FOL,HIT,BLK,W,L,GA,GAA,SV,SV%,SO
Connor McDavid,EDM,C,1.1,82,42,78,120,22,30,13,39,52,12,286,388,0,78,38,,,,,,,
Leon Draisaitl,EDM,C/LW,2.4,80,46,66,112,19,32,16,25,41,9,255,627,0,56,19,,,,,,,
Nathan MacKinnon,COL,C,3.1,79,41,62,103,19,39,14,27,41,7,349,322,0,60,27,,,,,,,
Nikita Kucherov,TBL,RW,4.5,81,40,68,108,25,52,16,31,47,7,244,0,0,43,28,,,,,,,
Andrei Vasilevskiy,TBL,G,5.2,61,,,,,,,,,,,,,,,43,14,133,2.2,1688,0.927,5
Mikko Rantanen,COL,RW,7,76,43,52,95,18,42,15,22,37,6,246,37,0,42,32,,,,,,,
Auston Matthews,TOR,C,7.8,73,54,35,89,23,14,14,9,23,9,307,459,0,68,65,,,,,,,
David Pastrnak,BOS,RW,7.8,75,44,46,90,17,32,18,16,34,6,278,4,0,54,22,,,,,,,
Artemi Panarin,NYR,LW,9.7,78,33,74,107,27,22,9,21,30,5,216,0,0,23,16,,,,,,,
Brad Marchand,BOS,LW,10.3,77,41,57,98,25,68,6,21,27,8,227,17,0,85,17,,,,,,,
Alex Ovechkin,WSH,LW,11.5,79,47,33,80,-10,36,16,9,25,7,318,0,0,193,40,,,,,,,
Cale Makar,COL,D,13.3,73,14,57,71,15,20,7,25,32,5,169,0,0,77,60,,,,,,,
Patrick Kane,CHI,RW,14,81,36,57,93,4,28,7,23,30,4,292,2,0,20,21,,,,,,,
Mitchell Marner,TOR,RW,14.7,82,29,70,99,19,22,7,20,27,6,235,6,0,33,58,,,,,,,
Jonathan Huberdeau,FLA,LW,17,82,30,61,91,13,38,8,28,36,4,193,19,0,72,23,,,,,,,
Sidney Crosby,PIT,C,17.5,77,34,57,91,10,32,9,24,33,5,226,716,0,63,39,,,,,,,
Robin Lehner,VGK,G,18.4,55,,,,,,,,,,,,,,,35,14,113,2.11,1375,0.924,5
Brayden Point,TBL,C/RW,19.1,80,33,48,81,26,24,11,13,24,6,186,312,0,32,30,,,,,,,
Sebastian Aho,CAR,C,19.6,80,35,48,83,14,36,10,16,26,7,220,403,0,61,32,,,,,,,
Darcy Kuemper,COL,G,21.9,54,,,,,,,,,,,,,,,32,15,105,2,1282,0.924,6
Connor Hellebuyck,WPG,G,22.7,65,,,,,,,,,,,,,,,38,22,153,2.37,1781,0.921,5
Mika Zibanejad,NYR,C,23.3,75,35,37,72,5,26,14,12,26,6,238,530,0,98,61,,,,,,,
Brady Tkachuk,OTT,LW,24.2,80,25,28,53,-15,89,6,8,14,4,304,122,0,338,35,,,,,,,
Aleksander Barkov,FLA,C,24.5,77,38,50,88,10,16,11,17,28,5,263,669,0,42,55,,,,,,,
John Carlson,WSH,D,25.3,74,14,52,66,0,17,3,22,25,3,185,0,0,68,107,,,,,,,
Adam Fox,NYR,D,25.3,81,8,56,64,21,36,3,25,28,3,150,0,0,36,143,,,,,,,
Andrei Svechnikov,CAR,LW/RW,27.9,79,29,44,73,5,58,6,17,23,5,211,2,0,154,28,,,,,,,
Victor Hedman,TBL,D,29.8,75,13,45,58,26,46,3,28,31,4,188,0,0,73,104,,,,,,,
Kirill Kaprizov,MIN,LW/RW,30.1,80,38,36,74,12,24,12,8,20,5,231,4,0,42,26,,,,,,,
Jake Guentzel,PIT,LW/RW,30.4,82,35,47,82,10,28,7,15,22,6,216,8,0,117,46,,,,,,,
Steven Stamkos,TBL,C/RW,31.9,68,33,41,74,8,25,16,14,30,5,178,340,0,70,25,,,,,,,
Alex DeBrincat,CHI,LW/RW,34.2,80,43,36,79,4,15,13,12,25,6,237,16,0,94,31,,,,,,,
Gabriel Landeskog,COL,C/LW,34.8,78,30,44,74,17,41,12,11,23,8,226,312,0,120,45,,,,,,,
Patrice Bergeron,BOS,C,35.9,66,31,32,63,25,26,10,10,20,4,221,652,0,57,46,,,,,,,
Max Pacioretty,VGK,LW,36.2,72,34,37,71,19,32,8,10,18,7,262,27,0,64,40,,,,,,,
Matthew Tkachuk,CGY,LW/RW,36.4,80,27,42,69,4,66,6,15,21,3,216,3,0,173,15,,,,,,,
Igor Shesterkin,NYR,G,38.7,53,,,,,,,,,,,,,,,29,17,132,2.55,1539,0.921,3
Marc-Andre Fleury,CHI,G,40.6,53,,,,,,,,,,,,,,,28,19,133,2.58,1480,0.918,5
Mark Scheifele,WPG,C,41.2,79,31,58,89,-1,40,11,12,23,6,181,442,0,43,54,,,,,,,
John Tavares,TOR,C,41.4,82,33,45,78,13,28,10,11,21,6,247,564,0,68,42,,,,,,,
Dougie Hamilton,NJD,D,41.6,81,17,46,63,22,54,2,19,21,3,270,0,0,87,97,,,,,,,
Mark Stone,VGK,RW,42.4,75,27,52,79,21,29,7,14,21,6,173,15,0,48,49,,,,,,,
Quinn Hughes,VAN,D,44,77,9,53,62,-16,26,3,26,29,2,145,0,0,22,57,,,,,,,
